Sample_Origin,Cell_type.refined,Cell_subtype,n_cells,mean_score,median_score,sd_score,score
PE,B lymphocytes,Follicular B cells,3019,0.010260075,0.0,0.029748132,epithelial
PE,B lymphocytes,MALT B cells,109,0.06677797,0.07701635,0.0666184,epithelial
PE,B lymphocytes,Undetermined,152,0.020057166,0.0,0.042602003,epithelial
PE,Epithelial cells,,396,1.4868826,1.4029292,0.8657007,epithelial
PE,Myeloid cells,Pleural Mac,2713,0.02688351,0.0,0.051106896,epithelial
PE,Myeloid cells,Undetermined,142,0.015053381,0.0,0.043254748,epithelial
PE,T/NK cells,CD8 low T,1691,0.016610175,0.0,0.03716814,epithelial
PE,T/NK cells,Cytotoxic CD8+ T,149,0.016111368,0.0,0.03379888,epithelial
PE,T/NK cells,Exhausted CD8+ T,438,0.02058952,0.0,0.0406015,epithelial
PE,T/NK cells,NK,517,0.018969538,0.0,0.03907916,epithelial
PE,T/NK cells,Naive CD4+ T,4365,0.014648263,0.0,0.034376226,epithelial
PE,T/NK cells,Naive CD8+ T,1418,0.012212341,0.0,0.033744186,epithelial
PE,T/NK cells,Treg,519,0.011179962,0.0,0.030881118,epithelial
PE,,,4368,0.015925309,0.0,0.038208682,epithelial
mBrain,B lymphocytes,Follicular B cells,675,0.2731467,0.32115242,0.23807482,epithelial
mBrain,B lymphocytes,MALT B cells,326,0.17595637,0.07701635,0.26543126,epithelial
mBrain,B lymphocytes,Plasma cells,299,0.6601428,0.68597627,0.355927,epithelial
mBrain,Endothelial cells,Tumor ECs,155,0.20736457,0.1540327,0.21637145,epithelial
mBrain,Epithelial cells,Malignant cells,15423,1.430123,1.3505778,0.7864663,epithelial
mBrain,Fibroblasts,FB-like cells,200,0.22072367,0.19908439,0.18355198,epithelial
mBrain,Fibroblasts,Pericytes,217,0.1787218,0.12206803,0.27683616,epithelial
mBrain,MAST cells,MAST,508,0.44187525,0.46209812,0.2286195,epithelial
mBrain,Myeloid cells,Alveolar Mac,133,0.18283495,0.1540327,0.1672462,epithelial
mBrain,Myeloid cells,CD163+CD14+ DCs,177,0.13300423,0.07701635,0.1883787,epithelial
mBrain,Myeloid cells,Microglia/Mac,563,0.1887617,0.1540327,0.1262255,epithelial
mBrain,Myeloid cells,Monocytes,251,0.081159145,0.0,0.15256089,epithelial
mBrain,Myeloid cells,Undetermined,445,0.15983671,0.0,0.25807497,epithelial
mBrain,Myeloid cells,mo-Mac,3942,0.1325978,0.07701635,0.2076255,epithelial
mBrain,T/NK cells,CD4+ Th,340,0.068907745,0.0,0.12026967,epithelial
mBrain,T/NK cells,CD8 low T,146,0.109689005,0.0,0.16142876,epithelial
mBrain,T/NK cells,Exhausted CD8+ T,364,0.087624274,0.0,0.13991107,epithelial
mBrain,T/NK cells,NK,306,0.043721423,0.0,0.108254276,epithelial
mBrain,T/NK cells,Naive CD4+ T,259,0.10767893,0.0,0.1693269,epithelial
mBrain,T/NK cells,Treg,348,0.11903898,0.0,0.17278123,epithelial
mBrain,T/NK cells,Undetermined,801,0.4607339,0.46209812,0.15295148,epithelial
mBrain,,,2835,0.17857888,0.07701635,0.22644348,epithelial
mLN,B lymphocytes,Follicular B cells,5119,0.012364595,0.0,0.03430226,epithelial
mLN,B lymphocytes,GC B cells in the DZ,233,0.019364808,0.0,0.041681055,epithelial
mLN,B lymphocytes,GC B cells in the LZ,149,0.010854654,0.0,0.028340261,epithelial
mLN,B lymphocytes,MALT B cells,208,0.060697198,0.0,0.07529689,epithelial
mLN,B lymphocytes,Undetermined,270,0.022986518,0.0,0.044414263,epithelial
mLN,Epithelial cells,Malignant cells,2961,1.5190507,1.6537825,0.94499743,epithelial
mLN,Myeloid cells,CD163+CD14+ DCs,133,0.080884375,0.07701635,0.09825125,epithelial
mLN,Myeloid cells,Monocytes,563,0.034732882,0.0,0.059199665,epithelial
mLN,Myeloid cells,Undetermined,545,0.029465666,0.0,0.055000048,epithelial
mLN,Myeloid cells,mo-Mac,3841,0.06343184,0.07701635,0.08551579,epithelial
mLN,T/NK cells,CD4+ Th,491,0.021581298,0.0,0.04694282,epithelial
mLN,T/NK cells,CD8 low T,361,0.018794281,0.0,0.040643293,epithelial
mLN,T/NK cells,Cytotoxic CD8+ T,244,0.02725238,0.0,0.049449623,epithelial
mLN,T/NK cells,Exhausted CD8+ T,492,0.022296326,0.0,0.05475362,epithelial
mLN,T/NK cells,NK,721,0.030338626,0.0,0.050693717,epithelial
mLN,T/NK cells,Naive CD4+ T,1757,0.016668525,0.0,0.038595296,epithelial
mLN,T/NK cells,Naive CD8+ T,231,0.013002761,0.0,0.032284457,epithelial
mLN,T/NK cells,Treg,633,0.021983083,0.0,0.043937556,epithelial
mLN,T/NK cells,Undetermined,109,0.024556832,0.0,0.050510965,epithelial
mLN,,,1819,0.027061528,0.0,0.058912415,epithelial
nLN,B lymphocytes,Follicular B cells,8982,0.001076831,0.0,0.009077195,epithelial
nLN,B lymphocytes,GC B cells in the DZ,169,0.0030008864,0.0,0.018077105,epithelial
nLN,B lymphocytes,GC B cells in the LZ,132,0.00058345724,0.0,0.006703413,epithelial
nLN,B lymphocytes,MALT B cells,525,0.015726198,0.0,0.03786893,epithelial
nLN,B lymphocytes,Plasma cells,488,0.0029599038,0.0,0.017091982,epithelial
nLN,B lymphocytes,Undetermined,276,0.0027904476,0.0,0.014417929,epithelial
nLN,Myeloid cells,Activated DCs,122,0.0050502527,0.0,0.019142902,epithelial
nLN,Myeloid cells,CD1c+ DCs,181,0.00085100945,0.0,0.011449161,epithelial
nLN,Myeloid cells,Undetermined,868,0.0068857335,0.0,0.028463703,epithelial
nLN,T/NK cells,CD4+ Th,1159,0.0013014344,0.0,0.010936596,epithelial
nLN,T/NK cells,CD8 low T,921,0.00083622534,0.0,0.0079858,epithelial
nLN,T/NK cells,Cytotoxic CD8+ T,185,0.00083260925,0.0,0.00798599,epithelial
nLN,T/NK cells,Exhausted CD8+ T,168,0.0027505842,0.0,0.014335182,epithelial
nLN,T/NK cells,NK,307,0.0007526028,0.0,0.0075884047,epithelial
nLN,T/NK cells,Naive CD4+ T,13713,0.0023930767,0.0,0.013564482,epithelial
nLN,T/NK cells,Naive CD8+ T,1317,0.0011695726,0.0,0.009422087,epithelial
nLN,T/NK cells,Treg,1516,0.0016851099,0.0,0.011588145,epithelial
nLN,T/NK cells,Undetermined,139,0.004202634,0.0,0.018656833,epithelial
nLN,,,6096,0.0018793568,0.0,0.012487918,epithelial
nLung,B lymphocytes,Follicular B cells,332,0.109261304,0.07701635,0.09983006,epithelial
nLung,B lymphocytes,GrB-secreting B cells,186,0.14909177,0.1540327,0.11566606,epithelial
nLung,Endothelial cells,Lymphatic ECs,207,0.1741612,0.1540327,0.12259756,epithelial
nLung,Endothelial cells,Stalk-like ECs,322,0.11617952,0.07701635,0.104048796,epithelial
nLung,Endothelial cells,Tip-like ECs,654,0.10929343,0.07701635,0.095281266,epithelial
nLung,Epithelial cells,AT1,530,0.72750753,0.6089599,0.5625367,epithelial
nLung,Epithelial cells,AT2,2020,2.5968468,2.6532884,0.5645218,epithelial
nLung,Epithelial cells,Ciliated,654,0.9337678,0.81988275,0.5813561,epithelial
nLung,Epithelial cells,Club,439,1.0266474,0.9418191,0.6316799,epithelial
nLung,Fibroblasts,COL13A1+ matrix FBs,259,0.12383638,0.07701635,0.16905127,epithelial
nLung,Fibroblasts,COL14A1+ matrix FBs,1078,0.16536191,0.1540327,0.23583703,epithelial
nLung,Fibroblasts,Undetermined,122,0.116064176,0.09954219,0.10643159,epithelial
nLung,MAST cells,MAST,1079,0.12653823,0.12206803,0.10798781,epithelial
nLung,Myeloid cells,Alveolar Mac,12211,0.28194818,0.2558428,0.1808026,epithelial
nLung,Myeloid cells,CD141+ DCs,101,0.18135339,0.1540327,0.13841671,epithelial
nLung,Myeloid cells,CD163+CD14+ DCs,143,0.20439853,0.17882644,0.14173515,epithelial
nLung,Myeloid cells,CD1c+ DCs,880,0.16078599,0.1540327,0.12392194,epithelial
nLung,Myeloid cells,Monocytes,2319,0.13560757,0.12206803,0.113020316,epithelial
nLung,Myeloid cells,mo-Mac,808,0.14938322,0.12206803,0.12448228,epithelial
nLung,T/NK cells,CD4+ Th,3101,0.11263784,0.07701635,0.09431513,epithelial
nLung,T/NK cells,CD8 low T,680,0.1050934,0.07701635,0.08632975,epithelial
nLung,T/NK cells,Cytotoxic CD8+ T,2041,0.118728615,0.12206803,0.09815393,epithelial
nLung,T/NK cells,Exhausted CD8+ T,177,0.123184904,0.12206803,0.098120704,epithelial
nLung,T/NK cells,NK,4752,0.10788129,0.07701635,0.088201955,epithelial
nLung,T/NK cells,Naive CD4+ T,280,0.104104705,0.07701635,0.086472414,epithelial
nLung,T/NK cells,Treg,196,0.10889543,0.07701635,0.09489982,epithelial
nLung,T/NK cells,Undetermined,106,0.19971786,0.18895541,0.15668325,epithelial
nLung,,,6614,0.114552304,0.07701635,0.11489962,epithelial
tL/B,B lymphocytes,Follicular B cells,382,0.023436911,0.0,0.046245884,epithelial
tL/B,Epithelial cells,Malignant cells,6400,1.3283898,1.325151,0.6278648,epithelial
tL/B,Epithelial cells,,182,0.73830575,0.6762899,0.4887795,epithelial
tL/B,Myeloid cells,Monocytes,499,0.033681992,0.0,0.06597357,epithelial
tL/B,Myeloid cells,Undetermined,195,0.047499213,0.0,0.065023705,epithelial
tL/B,Myeloid cells,mo-Mac,460,0.10721549,0.07701635,0.121765405,epithelial
tL/B,T/NK cells,CD4+ Th,252,0.038889207,0.0,0.061415967,epithelial
tL/B,T/NK cells,CD8 low T,342,0.022821128,0.0,0.043682575,epithelial
tL/B,T/NK cells,Cytotoxic CD8+ T,290,0.026006248,0.0,0.05152366,epithelial
tL/B,T/NK cells,Exhausted CD8+ T,397,0.03297961,0.0,0.055042744,epithelial
tL/B,T/NK cells,NK,406,0.019112743,0.0,0.040296476,epithelial
tL/B,T/NK cells,Naive CD4+ T,410,0.022371322,0.0,0.042491965,epithelial
tL/B,T/NK cells,Naive CD8+ T,105,0.019499779,0.0,0.036045678,epithelial
tL/B,T/NK cells,Treg,346,0.04021362,0.0,0.05764363,epithelial
tL/B,,,963,0.027368614,0.0,0.05421811,epithelial
tLung,B lymphocytes,Follicular B cells,3580,0.05529168,0.07701635,0.06471699,epithelial
tLung,B lymphocytes,MALT B cells,1126,0.21343485,0.19908439,0.14379412,epithelial
tLung,B lymphocytes,Plasma cells,314,0.08127977,0.07701635,0.08581628,epithelial
tLung,B lymphocytes,Undetermined,130,0.09835747,0.07701635,0.079669006,epithelial
tLung,Endothelial cells,Stalk-like ECs,103,0.14406145,0.1540327,0.12450281,epithelial
tLung,Endothelial cells,Tip-like ECs,168,0.10887202,0.07701635,0.11478549,epithelial
tLung,Endothelial cells,Tumor ECs,274,0.14045542,0.12206803,0.13085519,epithelial
tLung,Epithelial cells,tS1,3270,1.7068855,1.7464552,0.70369184,epithelial
tLung,Epithelial cells,tS2,3018,1.9279338,1.8786066,0.75311893,epithelial
tLung,Epithelial cells,,918,2.028382,2.2013597,1.0461789,epithelial
tLung,Fibroblasts,COL13A1+ matrix FBs,703,0.09415307,0.07701635,0.10013819,epithelial
tLung,Fibroblasts,COL14A1+ matrix FBs,390,0.09889306,0.07701635,0.10568581,epithelial
tLung,Fibroblasts,Myofibroblasts,245,0.12893279,0.07701635,0.22038928,epithelial
tLung,Fibroblasts,Smooth muscle cells,139,0.110100724,0.07701635,0.10144468,epithelial
tLung,Fibroblasts,Undetermined,111,0.07111085,0.07701635,0.09509411,epithelial
tLung,MAST cells,MAST,1809,0.08640548,0.07701635,0.08583221,epithelial
tLung,Myeloid cells,Activated DCs,154,0.14779706,0.12206803,0.119770095,epithelial
tLung,Myeloid cells,Alveolar Mac,1324,0.25905502,0.24413607,0.16207282,epithelial
tLung,Myeloid cells,CD163+CD14+ DCs,660,0.13843626,0.12206803,0.11875854,epithelial
tLung,Myeloid cells,CD1c+ DCs,528,0.15091604,0.1540327,0.10897735,epithelial
tLung,Myeloid cells,Monocytes,639,0.09083928,0.07701635,0.084229656,epithelial
tLung,Myeloid cells,Undetermined,484,0.07298372,0.07701635,0.10415856,epithelial
tLung,Myeloid cells,mo-Mac,4678,0.15850836,0.1540327,0.13623619,epithelial
tLung,Myeloid cells,pDCs,116,0.09975609,0.07701635,0.09201241,epithelial
tLung,T/NK cells,CD4+ Th,3572,0.07944816,0.07701635,0.08357977,epithelial
tLung,T/NK cells,CD8 low T,785,0.06927397,0.07701635,0.07506904,epithelial
tLung,T/NK cells,CD8+/CD4+ Mixed Th,2464,0.05870231,0.07701635,0.06482684,epithelial
tLung,T/NK cells,Cytotoxic CD8+ T,418,0.0649257,0.07701635,0.07490314,epithelial
tLung,T/NK cells,Exhausted CD8+ T,1762,0.078199424,0.07701635,0.08329632,epithelial
tLung,T/NK cells,Exhausted Tfh,385,0.12984778,0.12206803,0.100644805,epithelial
tLung,T/NK cells,NK,739,0.08074383,0.07701635,0.086312875,epithelial
tLung,T/NK cells,Naive CD4+ T,1743,0.057698037,0.07701635,0.065551855,epithelial
tLung,T/NK cells,Naive CD8+ T,203,0.05518398,0.07701635,0.063174754,epithelial
tLung,T/NK cells,Treg,1608,0.07325609,0.07701635,0.07671163,epithelial
tLung,T/NK cells,Undetermined,262,0.12364389,0.07701635,0.10881941,epithelial
tLung,,,5742,0.0770163,0.07701635,0.0863265,epithelial
PE,B lymphocytes,Follicular B cells,3019,0.03144396,0.0,0.052634694,macrophage
PE,B lymphocytes,MALT B cells,109,0.12191704,0.06931472,0.11828287,macrophage
PE,B lymphocytes,Undetermined,152,0.044765797,0.0,0.060505874,macrophage
PE,Epithelial cells,,396,0.30554834,0.20794415,0.31429625,macrophage
PE,Myeloid cells,Pleural Mac,2713,1.2703116,1.105089,0.629165,macrophage
PE,Myeloid cells,Undetermined,142,0.46244255,0.3871201,0.34135592,macrophage
PE,T/NK cells,CD8 low T,1691,0.033762258,0.0,0.050055746,macrophage
PE,T/NK cells,Cytotoxic CD8+ T,149,0.04295645,0.0,0.058061894,macrophage
PE,T/NK cells,Exhausted CD8+ T,438,0.032973453,0.0,0.05442669,macrophage
PE,T/NK cells,NK,517,0.035040937,0.0,0.05258121,macrophage
PE,T/NK cells,Naive CD4+ T,4365,0.024390036,0.0,0.04616709,macrophage
PE,T/NK cells,Naive CD8+ T,1418,0.03323442,0.0,0.050494794,macrophage
PE,T/NK cells,Treg,519,0.037741326,0.0,0.059593596,macrophage
PE,,,4368,0.04313168,0.0,0.073536694,macrophage
mBrain,B lymphocytes,Follicular B cells,675,0.10156995,0.06931472,0.10820609,macrophage
mBrain,B lymphocytes,MALT B cells,326,0.20272355,0.06931472,0.28678125,macrophage
mBrain,B lymphocytes,Plasma cells,299,0.14849181,0.13862944,0.13727185,macrophage
mBrain,Endothelial cells,Tumor ECs,155,0.15650658,0.06931472,0.20109704,macrophage
mBrain,Epithelial cells,Malignant cells,15423,0.13477014,0.06931472,0.1975937,macrophage
mBrain,Fibroblasts,FB-like cells,200,0.6730012,0.6584776,0.40721318,macrophage
mBrain,Fibroblasts,Pericytes,217,0.3063512,0.27725887,0.26768428,macrophage
mBrain,MAST cells,MAST,508,0.16230436,0.13862944,0.12603448,macrophage
mBrain,Myeloid cells,Alveolar Mac,133,2.1612017,2.1734731,0.8355768,macrophage
mBrain,Myeloid cells,CD163+CD14+ DCs,177,1.5068641,1.4534746,0.65223074,macrophage
mBrain,Myeloid cells,Microglia/Mac,563,1.5439855,1.4536428,0.6594398,macrophage
mBrain,Myeloid cells,Monocytes,251,0.7721716,0.7336937,0.315165,macrophage
mBrain,Myeloid cells,Undetermined,445,1.2526593,1.1954529,0.66772634,macrophage
mBrain,Myeloid cells,mo-Mac,3942,1.9270729,1.8408742,0.9433363,macrophage
mBrain,T/NK cells,CD4+ Th,340,0.16325271,0.13862944,0.16534661,macrophage
mBrain,T/NK cells,CD8 low T,146,0.106123954,0.06931472,0.10933423,macrophage
mBrain,T/NK cells,Exhausted CD8+ T,364,0.14828332,0.13862944,0.137911,macrophage
mBrain,T/NK cells,NK,306,0.12593807,0.10986123,0.103714205,macrophage
mBrain,T/NK cells,Naive CD4+ T,259,0.11316749,0.06931472,0.10765011,macrophage
mBrain,T/NK cells,Treg,348,0.14371642,0.10986123,0.13360882,macrophage
mBrain,T/NK cells,Undetermined,801,0.0714822,0.06931472,0.09487807,macrophage
mBrain,,,2835,0.17346089,0.10986123,0.23094462,macrophage
mLN,B lymphocytes,Follicular B cells,5119,0.0822119,0.06931472,0.093737386,macrophage
mLN,B lymphocytes,GC B cells in the DZ,233,0.11873066,0.06931472,0.123789735,macrophage
mLN,B lymphocytes,GC B cells in the LZ,149,0.07478385,0.06931472,0.07942674,macrophage
mLN,B lymphocytes,MALT B cells,208,0.18679419,0.14978662,0.13633499,macrophage
mLN,B lymphocytes,Undetermined,270,0.111795425,0.06931472,0.10416327,macrophage
mLN,Epithelial cells,Malignant cells,2961,0.32655177,0.20794415,0.35762796,macrophage
mLN,Myeloid cells,CD163+CD14+ DCs,133,1.7361832,1.7773721,0.6641873,macrophage
mLN,Myeloid cells,Monocytes,563,0.7226926,0.7090077,0.24390535,macrophage
mLN,Myeloid cells,Undetermined,545,0.82415307,0.6976348,0.5935635,macrophage
mLN,Myeloid cells,mo-Mac,3841,2.1601608,2.1750486,0.8242934,macrophage
mLN,T/NK cells,CD4+ Th,491,0.068367794,0.06931472,0.086001985,macrophage
mLN,T/NK cells,CD8 low T,361,0.069243155,0.06931472,0.07925639,macrophage
mLN,T/NK cells,Cytotoxic CD8+ T,244,0.05266184,0.0,0.067276634,macrophage
mLN,T/NK cells,Exhausted CD8+ T,492,0.057196677,0.06931472,0.07760025,macrophage
mLN,T/NK cells,NK,721,0.05242758,0.0,0.07363454,macrophage
mLN,T/NK cells,Naive CD4+ T,1757,0.0663576,0.06931472,0.078480825,macrophage
mLN,T/NK cells,Naive CD8+ T,231,0.06474168,0.06931472,0.07768066,macrophage
mLN,T/NK cells,Treg,633,0.083481364,0.06931472,0.112535074,macrophage
mLN,T/NK cells,Undetermined,109,0.115498476,0.06931472,0.12134561,macrophage
mLN,,,1819,0.06715298,0.06931472,0.09078202,macrophage
nLN,B lymphocytes,Follicular B cells,8982,0.04102534,0.0,0.06055498,macrophage
nLN,B lymphocytes,GC B cells in the DZ,169,0.07619353,0.06931472,0.10526851,macrophage
nLN,B lymphocytes,GC B cells in the LZ,132,0.05088778,0.0,0.068795085,macrophage
nLN,B lymphocytes,MALT B cells,525,0.24150416,0.20794415,0.21250078,macrophage
nLN,B lymphocytes,Plasma cells,488,0.045589976,0.0,0.08290384,macrophage
nLN,B lymphocytes,Undetermined,276,0.053915538,0.06931472,0.070988216,macrophage
nLN,Myeloid cells,Activated DCs,122,0.23228739,0.20794415,0.17760581,macrophage
nLN,Myeloid cells,CD1c+ DCs,181,0.9893356,0.842858,0.50277835,macrophage
nLN,Myeloid cells,Undetermined,868,1.0454199,0.4644391,1.1264273,macrophage
nLN,T/NK cells,CD4+ Th,1159,0.01804341,0.0,0.041275285,macrophage
nLN,T/NK cells,CD8 low T,921,0.016257815,0.0,0.037036717,macrophage
nLN,T/NK cells,Cytotoxic CD8+ T,185,0.012272409,0.0,0.032349166,macrophage
nLN,T/NK cells,Exhausted CD8+ T,168,0.02987822,0.0,0.056229256,macrophage
nLN,T/NK cells,NK,307,0.029230565,0.0,0.049062047,macrophage
nLN,T/NK cells,Naive CD4+ T,13713,0.01794351,0.0,0.040071685,macrophage
nLN,T/NK cells,Naive CD8+ T,1317,0.015049555,0.0,0.03867343,macrophage
nLN,T/NK cells,Treg,1516,0.02743102,0.0,0.0523066,macrophage
nLN,T/NK cells,Undetermined,139,0.05969007,0.0,0.08826672,macrophage
nLN,,,6096,0.025257654,0.0,0.058886014,macrophage
nLung,B lymphocytes,Follicular B cells,332,0.13543925,0.10986123,0.15106356,macrophage
nLung,B lymphocytes,GrB-secreting B cells,186,0.30199718,0.22499049,0.31251377,macrophage
nLung,Endothelial cells,Lymphatic ECs,207,0.09961616,0.06931472,0.12534375,macrophage
nLung,Endothelial cells,Stalk-like ECs,322,0.109024934,0.06931472,0.1286835,macrophage
nLung,Endothelial cells,Tip-like ECs,654,0.08259654,0.06931472,0.09598923,macrophage
nLung,Epithelial cells,AT1,530,0.09171313,0.06931472,0.11939464,macrophage
nLung,Epithelial cells,AT2,2020,0.20545207,0.16094379,0.1755719,macrophage
nLung,Epithelial cells,Ciliated,654,0.21689638,0.13862944,0.2832348,macrophage
nLung,Epithelial cells,Club,439,0.21123739,0.13862944,0.25320774,macrophage
nLung,Fibroblasts,COL13A1+ matrix FBs,259,0.12395857,0.06931472,0.14095314,macrophage
nLung,Fibroblasts,COL14A1+ matrix FBs,1078,0.10993805,0.06931472,0.12269501,macrophage
nLung,Fibroblasts,Undetermined,122,0.3681416,0.06931472,0.7334247,macrophage
nLung,MAST cells,MAST,1079,0.15224206,0.06931472,0.27738556,macrophage
nLung,Myeloid cells,Alveolar Mac,12211,2.3173726,2.383553,0.6954348,macrophage
nLung,Myeloid cells,CD141+ DCs,101,0.58010894,0.53752786,0.20840928,macrophage
nLung,Myeloid cells,CD163+CD14+ DCs,143,1.3984753,1.3195986,0.55729896,macrophage
nLung,Myeloid cells,CD1c+ DCs,880,0.95261973,0.8940822,0.38983074,macrophage
nLung,Myeloid cells,Monocytes,2319,0.75810534,0.7185387,0.2819089,macrophage
nLung,Myeloid cells,mo-Mac,808,1.4229856,1.2402279,0.73025477,macrophage
nLung,T/NK cells,CD4+ Th,3101,0.10295256,0.06931472,0.102377206,macrophage
nLung,T/NK cells,CD8 low T,680,0.09157763,0.06931472,0.097225845,macrophage
nLung,T/NK cells,Cytotoxic CD8+ T,2041,0.12041595,0.06931472,0.10494691,macrophage
nLung,T/NK cells,Exhausted CD8+ T,177,0.10482506,0.06931472,0.11330766,macrophage
nLung,T/NK cells,NK,4752,0.07526622,0.06931472,0.08579473,macrophage
nLung,T/NK cells,Naive CD4+ T,280,0.09863955,0.06931472,0.09348498,macrophage
nLung,T/NK cells,Treg,196,0.10390037,0.06931472,0.101097174,macrophage
nLung,T/NK cells,Undetermined,106,0.19809622,0.15890269,0.16101314,macrophage
nLung,,,6614,0.09730931,0.06931472,0.12809023,macrophage
tL/B,B lymphocytes,Follicular B cells,382,0.052987866,0.06931472,0.064078026,macrophage
tL/B,Epithelial cells,Malignant cells,6400,0.09291172,0.0,0.17219591,macrophage
tL/B,Epithelial cells,,182,0.04089433,0.0,0.09076886,macrophage
tL/B,Myeloid cells,Monocytes,499,0.6777697,0.63835067,0.2569201,macrophage
tL/B,Myeloid cells,Undetermined,195,0.44636148,0.20794415,0.5306829,macrophage
tL/B,Myeloid cells,mo-Mac,460,1.9477094,1.9154863,0.8308227,macrophage
tL/B,T/NK cells,CD4+ Th,252,0.04043896,0.0,0.054683942,macrophage
tL/B,T/NK cells,CD8 low T,342,0.04004942,0.0,0.05420062,macrophage
tL/B,T/NK cells,Cytotoxic CD8+ T,290,0.04093504,0.0,0.05417019,macrophage
tL/B,T/NK cells,Exhausted CD8+ T,397,0.039037384,0.0,0.05730608,macrophage
tL/B,T/NK cells,NK,406,0.038004637,0.0,0.055389013,macrophage
tL/B,T/NK cells,Naive CD4+ T,410,0.04353798,0.0,0.055653457,macrophage
tL/B,T/NK cells,Naive CD8+ T,105,0.028112045,0.0,0.04091741,macrophage
tL/B,T/NK cells,Treg,346,0.047683153,0.0,0.059060175,macrophage
tL/B,,,963,0.038733862,0.0,0.052350298,macrophage
tLung,B lymphocytes,Follicular B cells,3580,0.0663998,0.06931472,0.07317241,macrophage
tLung,B lymphocytes,MALT B cells,1126,0.16393033,0.13862944,0.13121486,macrophage
tLung,B lymphocytes,Plasma cells,314,0.055329725,0.06931472,0.07274531,macrophage
tLung,B lymphocytes,Undetermined,130,0.115951575,0.08958797,0.10557118,macrophage
tLung,Endothelial cells,Stalk-like ECs,103,0.10652445,0.06931472,0.10777931,macrophage
tLung,Endothelial cells,Tip-like ECs,168,0.10521134,0.06931472,0.11893594,macrophage
tLung,Endothelial cells,Tumor ECs,274,0.1174394,0.06931472,0.13995738,macrophage
tLung,Epithelial cells,tS1,3270,0.088394135,0.06931472,0.14781332,macrophage
tLung,Epithelial cells,tS2,3018,0.23675105,0.20794415,0.2698235,macrophage
tLung,Epithelial cells,,918,0.1655192,0.10986123,0.26092154,macrophage
tLung,Fibroblasts,COL13A1+ matrix FBs,703,0.20091853,0.17917594,0.15762298,macrophage
tLung,Fibroblasts,COL14A1+ matrix FBs,390,0.24292925,0.24849066,0.1637736,macrophage
tLung,Fibroblasts,Myofibroblasts,245,0.17129762,0.13862944,0.14393926,macrophage
tLung,Fibroblasts,Smooth muscle cells,139,0.13463064,0.10986123,0.12305389,macrophage
tLung,Fibroblasts,Undetermined,111,0.32916838,0.10986123,0.5892953,macrophage
tLung,MAST cells,MAST,1809,0.12774931,0.10986123,0.13206439,macrophage
tLung,Myeloid cells,Activated DCs,154,0.436062,0.3747771,0.32676247,macrophage
tLung,Myeloid cells,Alveolar Mac,1324,2.4440138,2.568403,0.685335,macrophage
tLung,Myeloid cells,CD163+CD14+ DCs,660,1.5028591,1.4906347,0.55427057,macrophage
tLung,Myeloid cells,CD1c+ DCs,528,0.9732704,0.91856307,0.39585656,macrophage
tLung,Myeloid cells,Monocytes,639,0.74038106,0.7090077,0.2403477,macrophage
tLung,Myeloid cells,Undetermined,484,0.7733464,0.63561076,0.581535,macrophage
tLung,Myeloid cells,mo-Mac,4678,2.2874424,2.3545797,0.79102194,macrophage
tLung,Myeloid cells,pDCs,116,0.21799746,0.19356005,0.1647893,macrophage
tLung,T/NK cells,CD4+ Th,3572,0.07661617,0.06931472,0.08468305,macrophage
tLung,T/NK cells,CD8 low T,785,0.069188215,0.06931472,0.08347568,macrophage
tLung,T/NK cells,CD8+/CD4+ Mixed Th,2464,0.039663892,0.0,0.059627965,macrophage
tLung,T/NK cells,Cytotoxic CD8+ T,418,0.074915096,0.06931472,0.07947344,macrophage
tLung,T/NK cells,Exhausted CD8+ T,1762,0.0919135,0.06931472,0.09340574,macrophage
tLung,T/NK cells,Exhausted Tfh,385,0.09965639,0.06931472,0.10959493,macrophage
tLung,T/NK cells,NK,739,0.060486607,0.06931472,0.07625092,macrophage
tLung,T/NK cells,Naive CD4+ T,1743,0.05644025,0.06931472,0.06739908,macrophage
tLung,T/NK cells,Naive CD8+ T,203,0.05592108,0.06931472,0.06550809,macrophage
tLung,T/NK cells,Treg,1608,0.070248194,0.06931472,0.075653866,macrophage
tLung,T/NK cells,Undetermined,262,0.12464184,0.06931472,0.13472483,macrophage
tLung,,,5742,0.06403325,0.06931472,0.07987649,macrophage
PE,B lymphocytes,Follicular B cells,3019,7.653165e-05,0.0,0.002972937,mast_cell
PE,B lymphocytes,MALT B cells,109,0.0,0.0,0.0,mast_cell
PE,B lymphocytes,Undetermined,152,0.0,0.0,0.0,mast_cell
PE,Epithelial cells,,396,0.016722921,0.0,0.050979946,mast_cell
PE,Myeloid cells,Pleural Mac,2713,0.0011922915,0.0,0.012091722,mast_cell
PE,Myeloid cells,Undetermined,142,0.0662666,0.0,0.36231694,mast_cell
PE,T/NK cells,CD8 low T,1691,0.00027326914,0.0,0.0056136665,mast_cell
PE,T/NK cells,Cytotoxic CD8+ T,149,0.0,0.0,0.0,mast_cell
PE,T/NK cells,Exhausted CD8+ T,438,0.00026375463,0.0,0.0055199754,mast_cell
PE,T/NK cells,NK,517,0.0006703551,0.0,0.0087830685,mast_cell
PE,T/NK cells,Naive CD4+ T,4365,0.0001323305,0.0,0.0039081206,mast_cell
PE,T/NK cells,Naive CD8+ T,1418,8.147005e-05,0.0,0.0030678639,mast_cell
