Sample_Origin,Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
tLung,Myeloid cells,8794,0.033771325,0.0,0.087794624,fibroblast
tLung,T/NK cells,13941,0.019613773,0.0,0.056465298,fibroblast
tLung,,5742,0.023459487,0.0,0.07081031,fibroblast
PE,B lymphocytes,3285,0.0009953029,0.0,0.011935454,at2_mature
PE,Epithelial cells,396,0.13514057,0.0,0.31240466,at2_mature
PE,Myeloid cells,3063,0.01720832,0.0,0.079972945,at2_mature
PE,T/NK cells,9192,0.002843016,0.0,0.020047411,at2_mature
PE,,4368,0.0029306368,0.0,0.020349337,at2_mature
mBrain,B lymphocytes,1311,0.4852565,0.3583519,0.5397826,at2_mature
mBrain,Endothelial cells,159,0.078294344,0.0,0.18689834,at2_mature
mBrain,Epithelial cells,15463,0.34837112,0.0,0.78735524,at2_mature
mBrain,Fibroblasts,444,0.04789044,0.0,0.17834646,at2_mature
mBrain,MAST cells,508,0.6939764,0.7475339,0.35514277,at2_mature
mBrain,Myeloid cells,5657,0.09917585,0.0,0.28651473,at2_mature
mBrain,T/NK cells,2683,0.284542,0.0,0.39421684,at2_mature
mBrain,,2835,0.24640551,0.0,0.37624073,at2_mature
mLN,B lymphocytes,6062,0.003990384,0.0,0.02404846,at2_mature
mLN,Epithelial cells,3053,0.4095629,0.13862944,0.57866323,at2_mature
mLN,Myeloid cells,5442,0.015093711,0.0,0.053806238,at2_mature
mLN,T/NK cells,5069,0.008834093,0.0,0.03615574,at2_mature
mLN,,1819,0.009507807,0.0,0.03546465,at2_mature
nLN,B lymphocytes,10584,0.00079033256,0.0,0.01075563,at2_mature
nLN,Myeloid cells,1288,0.039357916,0.0,0.10918283,at2_mature
nLN,T/NK cells,19478,0.0012319552,0.0,0.013254433,at2_mature
nLN,,6096,0.001271789,0.0,0.013759922,at2_mature
nLung,B lymphocytes,634,0.24879028,0.21972246,0.21396907,at2_mature
nLung,Endothelial cells,1295,0.20199957,0.13862944,0.17503285,at2_mature
nLung,Epithelial cells,3703,2.3480604,3.099279,1.881542,at2_mature
nLung,Fibroblasts,1585,0.24615738,0.21972246,0.32001296,at2_mature
nLung,MAST cells,1079,0.19677398,0.13862944,0.17521174,at2_mature
nLung,Myeloid cells,16672,0.41414598,0.3583519,0.2967053,at2_mature
nLung,T/NK cells,11413,0.19558223,0.13862944,0.16402197,at2_mature
nLung,,6614,0.19334531,0.13862944,0.16256948,at2_mature
tL/B,B lymphocytes,469,0.00726695,0.0,0.032815326,at2_mature
tL/B,Epithelial cells,6582,0.05760373,0.0,0.18733676,at2_mature
tL/B,Myeloid cells,1329,0.0115143005,0.0,0.04599669,at2_mature
tL/B,T/NK cells,2627,0.0042834184,0.0,0.025162674,at2_mature
tL/B,,963,0.0036831037,0.0,0.022716949,at2_mature
tLung,B lymphocytes,5312,0.1273032,0.13862944,0.15315145,at2_mature
tLung,Endothelial cells,627,0.17168516,0.13862944,0.17211047,at2_mature
tLung,Epithelial cells,7270,1.2415063,0.99396265,1.1750174,at2_mature
tLung,Fibroblasts,1654,0.11423985,0.13862944,0.13663867,at2_mature
tLung,MAST cells,1809,0.10543893,0.13862944,0.12382933,at2_mature
tLung,Myeloid cells,8794,0.21608412,0.13862944,0.21376944,at2_mature
tLung,T/NK cells,13941,0.08910592,0.0,0.11280511,at2_mature
tLung,,5742,0.090842016,0.0,0.1124046,at2_mature
PE,B lymphocytes,3285,0.0174013,0.0,0.04606366,epithelial_progenitor_like
PE,Epithelial cells,396,2.060405,1.8890128,1.2452128,epithelial_progenitor_like
PE,Myeloid cells,3063,0.041494872,0.0,0.08123221,epithelial_progenitor_like
PE,T/NK cells,9192,0.020625362,0.0,0.047205176,epithelial_progenitor_like
PE,,4368,0.0225007,0.0,0.052280873,epithelial_progenitor_like
mBrain,B lymphocytes,1311,0.09734159,0.099021025,0.13462459,epithelial_progenitor_like
mBrain,Endothelial cells,159,0.24953902,0.19804205,0.26054305,epithelial_progenitor_like
mBrain,Epithelial cells,15463,1.7687473,1.7305654,0.9629448,epithelial_progenitor_like
mBrain,Fibroblasts,444,0.24552454,0.19804205,0.27409872,epithelial_progenitor_like
mBrain,MAST cells,508,0.08028757,0.099021025,0.10845977,epithelial_progenitor_like
mBrain,Myeloid cells,5657,0.122708306,0.099021025,0.18033017,epithelial_progenitor_like
mBrain,T/NK cells,2683,0.061975963,0.0,0.10384743,epithelial_progenitor_like
mBrain,,2835,0.0642427,0.0,0.1279057,epithelial_progenitor_like
mLN,B lymphocytes,6062,0.018382423,0.0,0.048271567,epithelial_progenitor_like
mLN,Epithelial cells,3053,1.9130704,2.0874195,1.2105397,epithelial_progenitor_like
mLN,Myeloid cells,5442,0.083657764,0.0,0.11853083,epithelial_progenitor_like
mLN,T/NK cells,5069,0.025618095,0.0,0.055809833,epithelial_progenitor_like
mLN,,1819,0.033105843,0.0,0.07993167,epithelial_progenitor_like
nLN,B lymphocytes,10584,0.002536582,0.0,0.017093362,epithelial_progenitor_like
nLN,Myeloid cells,1288,0.008926829,0.0,0.03796235,epithelial_progenitor_like
nLN,T/NK cells,19478,0.0027351496,0.0,0.01660123,epithelial_progenitor_like
nLN,,6096,0.0024650467,0.0,0.016198147,epithelial_progenitor_like
nLung,B lymphocytes,634,0.013468052,0.0,0.046999484,epithelial_progenitor_like
nLung,Endothelial cells,1295,0.03309317,0.0,0.07225504,epithelial_progenitor_like
nLung,Epithelial cells,3703,1.0537304,0.9978166,0.553001,epithelial_progenitor_like
nLung,Fibroblasts,1585,0.04624447,0.0,0.15839644,epithelial_progenitor_like
nLung,MAST cells,1079,0.023844752,0.0,0.049534436,epithelial_progenitor_like
nLung,Myeloid cells,16672,0.030317785,0.0,0.063648045,epithelial_progenitor_like
nLung,T/NK cells,11413,0.006361936,0.0,0.027376989,epithelial_progenitor_like
nLung,,6614,0.0118284905,0.0,0.08828751,epithelial_progenitor_like
tL/B,B lymphocytes,469,0.05906631,0.0,0.11492548,epithelial_progenitor_like
tL/B,Epithelial cells,6582,1.8816174,1.8788702,0.90082794,epithelial_progenitor_like
tL/B,Myeloid cells,1329,0.10569621,0.099021025,0.15060025,epithelial_progenitor_like
tL/B,T/NK cells,2627,0.03903299,0.0,0.066602424,epithelial_progenitor_like
tL/B,,963,0.03915574,0.0,0.08030365,epithelial_progenitor_like
tLung,B lymphocytes,5312,0.033738904,0.0,0.073941655,epithelial_progenitor_like
tLung,Endothelial cells,627,0.084186174,0.0,0.12736481,epithelial_progenitor_like
tLung,Epithelial cells,7270,1.7898633,1.7313602,0.88809687,epithelial_progenitor_like
tLung,Fibroblasts,1654,0.080550425,0.0,0.23151053,epithelial_progenitor_like
tLung,MAST cells,1809,0.039314486,0.0,0.06847049,epithelial_progenitor_like
tLung,Myeloid cells,8794,0.07682045,0.0,0.12265738,epithelial_progenitor_like
tLung,T/NK cells,13941,0.03495179,0.0,0.073315054,epithelial_progenitor_like
tLung,,5742,0.038578793,0.0,0.081901856,epithelial_progenitor_like
PE,B lymphocytes,3285,0.026984802,0.0,0.1403233,proliferating_epithelial
PE,Epithelial cells,396,0.3925571,0.23104906,0.62541413,proliferating_epithelial
PE,Myeloid cells,3063,0.054811236,0.0,0.17823507,proliferating_epithelial
PE,T/NK cells,9192,0.029548857,0.0,0.13746525,proliferating_epithelial
PE,,4368,0.022082226,0.0,0.11052138,proliferating_epithelial
mBrain,B lymphocytes,1311,0.042062033,0.0,0.16507155,proliferating_epithelial
mBrain,Endothelial cells,159,0.08205052,0.0,0.22102715,proliferating_epithelial
mBrain,Epithelial cells,15463,0.15508527,0.0,0.31314015,proliferating_epithelial
mBrain,Fibroblasts,444,0.16230814,0.0,0.24885273,proliferating_epithelial
mBrain,MAST cells,508,0.018081358,0.0,0.06604387,proliferating_epithelial
mBrain,Myeloid cells,5657,0.085020825,0.0,0.24669917,proliferating_epithelial
mBrain,T/NK cells,2683,0.05624068,0.0,0.1834527,proliferating_epithelial
mBrain,,2835,0.044174384,0.0,0.14047557,proliferating_epithelial
mLN,B lymphocytes,6062,0.06711793,0.0,0.25570846,proliferating_epithelial
mLN,Epithelial cells,3053,0.26029465,0.0,0.4884538,proliferating_epithelial
mLN,Myeloid cells,5442,0.12799054,0.0,0.32317042,proliferating_epithelial
mLN,T/NK cells,5069,0.06595327,0.0,0.22406577,proliferating_epithelial
mLN,,1819,0.08121386,0.0,0.26230654,proliferating_epithelial
nLN,B lymphocytes,10584,0.0274113,0.0,0.15243895,proliferating_epithelial
nLN,Myeloid cells,1288,0.0665479,0.0,0.20755795,proliferating_epithelial
nLN,T/NK cells,19478,0.026295172,0.0,0.1253258,proliferating_epithelial
nLN,,6096,0.022532854,0.0,0.12372287,proliferating_epithelial
nLung,B lymphocytes,634,0.018577686,0.0,0.07355101,proliferating_epithelial
nLung,Endothelial cells,1295,0.041084796,0.0,0.11012297,proliferating_epithelial
nLung,Epithelial cells,3703,0.05468606,0.0,0.13174106,proliferating_epithelial
nLung,Fibroblasts,1585,0.04902693,0.0,0.11604722,proliferating_epithelial
nLung,MAST cells,1079,0.016964445,0.0,0.07832067,proliferating_epithelial
nLung,Myeloid cells,16672,0.08981744,0.0,0.21143518,proliferating_epithelial
nLung,T/NK cells,11413,0.033358768,0.0,0.13303688,proliferating_epithelial
nLung,,6614,0.025988815,0.0,0.10678409,proliferating_epithelial
tL/B,B lymphocytes,469,0.026872206,0.0,0.1313931,proliferating_epithelial
tL/B,Epithelial cells,6582,0.18486452,0.0,0.368917,proliferating_epithelial
tL/B,Myeloid cells,1329,0.064561,0.0,0.20161265,proliferating_epithelial
tL/B,T/NK cells,2627,0.05215398,0.0,0.17006856,proliferating_epithelial
tL/B,,963,0.035726316,0.0,0.120471105,proliferating_epithelial
tLung,B lymphocytes,5312,0.030334061,0.0,0.15003341,proliferating_epithelial
tLung,Endothelial cells,627,0.06226981,0.0,0.14404349,proliferating_epithelial
tLung,Epithelial cells,7270,0.1426429,0.0,0.29665828,proliferating_epithelial
tLung,Fibroblasts,1654,0.07185096,0.0,0.13319905,proliferating_epithelial
tLung,MAST cells,1809,0.018156428,0.0,0.085724495,proliferating_epithelial
tLung,Myeloid cells,8794,0.08466636,0.0,0.23042136,proliferating_epithelial
tLung,T/NK cells,13941,0.048998978,0.0,0.16948763,proliferating_epithelial
tLung,,5742,0.03943237,0.0,0.1493249,proliferating_epithelial
PE,B lymphocytes,3285,0.027831946,0.0,0.07287045,spp1_macrophage
PE,Epithelial cells,396,0.93422484,0.82374793,0.65049344,spp1_macrophage
PE,Myeloid cells,3063,0.41570243,0.27725887,0.4436895,spp1_macrophage
PE,T/NK cells,9192,0.048891593,0.0,0.087764554,spp1_macrophage
PE,,4368,0.039645422,0.0,0.07814096,spp1_macrophage
mBrain,B lymphocytes,1311,0.22761174,0.13862944,0.2631531,spp1_macrophage
mBrain,Endothelial cells,159,0.3803977,0.27725887,0.34074065,spp1_macrophage
mBrain,Epithelial cells,15463,0.89769924,0.837931,0.5474441,spp1_macrophage
mBrain,Fibroblasts,444,0.97722447,0.8999126,0.5879026,spp1_macrophage
mBrain,MAST cells,508,0.5301622,0.49698132,0.2940527,spp1_macrophage
mBrain,Myeloid cells,5657,1.5773002,1.4566896,0.9687814,spp1_macrophage
mBrain,T/NK cells,2683,0.22341152,0.13862944,0.2130586,spp1_macrophage
mBrain,,2835,0.41327623,0.21972246,0.5196747,spp1_macrophage
mLN,B lymphocytes,6062,0.10781619,0.0,0.15041275,spp1_macrophage
mLN,Epithelial cells,3053,0.9360464,0.79779685,0.66716164,spp1_macrophage
mLN,Myeloid cells,5442,1.6793978,1.7403357,1.043669,spp1_macrophage
mLN,T/NK cells,5069,0.13148138,0.13862944,0.1642865,spp1_macrophage
mLN,,1819,0.122229435,0.0,0.17204975,spp1_macrophage
nLN,B lymphocytes,10584,0.058424715,0.0,0.1494886,spp1_macrophage
nLN,Myeloid cells,1288,1.0610057,0.54161006,1.3109653,spp1_macrophage
nLN,T/NK cells,19478,0.030844726,0.0,0.074691065,spp1_macrophage
nLN,,6096,0.02496001,0.0,0.0703455,spp1_macrophage
nLung,B lymphocytes,634,0.113138996,0.0,0.16571859,spp1_macrophage
nLung,Endothelial cells,1295,0.28661847,0.13862944,0.34076113,spp1_macrophage
nLung,Epithelial cells,3703,0.62145615,0.5991465,0.35645038,spp1_macrophage
nLung,Fibroblasts,1585,0.4968668,0.46051702,0.3286678,spp1_macrophage
nLung,MAST cells,1079,0.41622674,0.4158883,0.27173063,spp1_macrophage
nLung,Myeloid cells,16672,1.3683724,1.4309231,0.8495871,spp1_macrophage
nLung,T/NK cells,11413,0.08566432,0.0,0.11734559,spp1_macrophage
nLung,,6614,0.08895053,0.0,0.13869949,spp1_macrophage
tL/B,B lymphocytes,469,0.0870257,0.0,0.15257786,spp1_macrophage
tL/B,Epithelial cells,6582,0.65630966,0.57807434,0.46544605,spp1_macrophage
tL/B,Myeloid cells,1329,0.8515151,0.46051702,0.86301047,spp1_macrophage
tL/B,T/NK cells,2627,0.08059607,0.0,0.11210564,spp1_macrophage
tL/B,,963,0.07640129,0.0,0.11216082,spp1_macrophage
tLung,B lymphocytes,5312,0.112751916,0.0,0.158615,spp1_macrophage
tLung,Endothelial cells,627,0.3446973,0.27725887,0.31071955,spp1_macrophage
tLung,Epithelial cells,7270,0.8323046,0.79779685,0.46155614,spp1_macrophage
tLung,Fibroblasts,1654,0.7239986,0.6931472,0.3932383,spp1_macrophage
tLung,MAST cells,1809,0.5026359,0.47957906,0.3066277,spp1_macrophage
tLung,Myeloid cells,8794,1.48745,1.4755518,0.9696894,spp1_macrophage
tLung,T/NK cells,13941,0.12353071,0.13862944,0.14119704,spp1_macrophage
tLung,,5742,0.10568392,0.13862944,0.13352865,spp1_macrophage
PE,B lymphocytes,3285,0.019697608,0.0,0.06041638,c1q_macrophage
PE,Epithelial cells,396,0.3380656,0.13862944,0.44099927,c1q_macrophage
PE,Myeloid cells,3063,0.8620101,0.43944493,0.9519529,c1q_macrophage
PE,T/NK cells,9192,0.019079613,0.0,0.05512595,c1q_macrophage
PE,,4368,0.023907984,0.0,0.062291842,c1q_macrophage
mBrain,B lymphocytes,1311,0.17086674,0.13862944,0.24033907,c1q_macrophage
mBrain,Endothelial cells,159,0.19207226,0.13862944,0.25164497,c1q_macrophage
mBrain,Epithelial cells,15463,0.16445093,0.13862944,0.24142747,c1q_macrophage
mBrain,Fibroblasts,444,0.64815384,0.5991465,0.47706327,c1q_macrophage
mBrain,MAST cells,508,0.22074234,0.21972246,0.17700216,c1q_macrophage
mBrain,Myeloid cells,5657,2.0145268,1.9786875,1.302655,c1q_macrophage
mBrain,T/NK cells,2683,0.12799962,0.13862944,0.16420554,c1q_macrophage
mBrain,,2835,0.14841685,0.13862944,0.24477303,c1q_macrophage
mLN,B lymphocytes,6062,0.087946065,0.0,0.122689255,c1q_macrophage
mLN,Epithelial cells,3053,0.34817943,0.27725887,0.39201796,c1q_macrophage
mLN,Myeloid cells,5442,1.7830553,1.730065,1.3179414,c1q_macrophage
mLN,T/NK cells,5069,0.06857057,0.0,0.10732312,c1q_macrophage
mLN,,1819,0.067888044,0.0,0.11690777,c1q_macrophage
nLN,B lymphocytes,10584,0.052022565,0.0,0.11546249,c1q_macrophage
nLN,Myeloid cells,1288,0.89042234,0.32188758,1.2001473,c1q_macrophage
nLN,T/NK cells,19478,0.017804028,0.0,0.054760575,c1q_macrophage
nLN,,6096,0.016345311,0.0,0.0550379,c1q_macrophage
nLung,B lymphocytes,634,0.1961013,0.13862944,0.267482,c1q_macrophage
nLung,Endothelial cells,1295,0.16494791,0.13862944,0.3912188,c1q_macrophage
nLung,Epithelial cells,3703,0.30503136,0.13862944,0.44968528,c1q_macrophage
nLung,Fibroblasts,1585,0.18343264,0.13862944,0.32795146,c1q_macrophage
nLung,MAST cells,1079,0.17520852,0.13862944,0.34977907,c1q_macrophage
nLung,Myeloid cells,16672,2.3059597,2.5121331,1.290955,c1q_macrophage
nLung,T/NK cells,11413,0.13037907,0.13862944,0.15272662,c1q_macrophage
nLung,,6614,0.1324378,0.13862944,0.18202937,c1q_macrophage
tL/B,B lymphocytes,469,0.08191183,0.0,0.13575542,c1q_macrophage
tL/B,Epithelial cells,6582,0.13774976,0.0,0.26077458,c1q_macrophage
tL/B,Myeloid cells,1329,1.2249358,0.49698132,1.3822569,c1q_macrophage
tL/B,T/NK cells,2627,0.044836808,0.0,0.08059372,c1q_macrophage
tL/B,,963,0.041644137,0.0,0.07374061,c1q_macrophage
tLung,B lymphocytes,5312,0.109397024,0.0,0.14173548,c1q_macrophage
tLung,Endothelial cells,627,0.1403832,0.13862944,0.22571906,c1q_macrophage
tLung,Epithelial cells,7270,0.19930482,0.13862944,0.2970272,c1q_macrophage
tLung,Fibroblasts,1654,0.30843207,0.21972246,0.3229956,c1q_macrophage
tLung,MAST cells,1809,0.15657237,0.13862944,0.19217578,c1q_macrophage
tLung,Myeloid cells,8794,2.1595092,2.2853951,1.3818696,c1q_macrophage
tLung,T/NK cells,13941,0.087539114,0.0,0.12473788,c1q_macrophage
tLung,,5742,0.0803319,0.0,0.118003875,c1q_macrophage
PE,B lymphocytes,3285,0.15332198,0.13862944,0.12934662,inflammatory_macrophage
PE,Epithelial cells,396,0.44016504,0.4158883,0.35480332,inflammatory_macrophage
PE,Myeloid cells,3063,0.7563309,0.6089045,0.5978081,inflammatory_macrophage
PE,T/NK cells,9192,0.16883017,0.13862944,0.15204857,inflammatory_macrophage
PE,,4368,0.16881369,0.13862944,0.15636836,inflammatory_macrophage
mBrain,B lymphocytes,1311,0.22390996,0.13862944,0.22591266,inflammatory_macrophage
mBrain,Endothelial cells,159,0.37503573,0.32188758,0.28812277,inflammatory_macrophage
mBrain,Epithelial cells,15463,0.48849842,0.38918203,0.4278984,inflammatory_macrophage
mBrain,Fibroblasts,444,0.4858225,0.4158883,0.4005084,inflammatory_macrophage
mBrain,MAST cells,508,0.23658513,0.13862944,0.23821276,inflammatory_macrophage
mBrain,Myeloid cells,5657,1.3070818,1.1962829,0.9262656,inflammatory_macrophage
mBrain,T/NK cells,2683,0.28878018,0.21972246,0.28604198,inflammatory_macrophage
mBrain,,2835,0.23201142,0.13862944,0.26605603,inflammatory_macrophage
mLN,B lymphocytes,6062,0.19885118,0.13862944,0.20022799,inflammatory_macrophage
mLN,Epithelial cells,3053,0.73448586,0.63561076,0.6243873,inflammatory_macrophage
mLN,Myeloid cells,5442,1.8489925,1.9180702,1.1293303,inflammatory_macrophage
mLN,T/NK cells,5069,0.21053283,0.13862944,0.22172296,inflammatory_macrophage
mLN,,1819,0.24267647,0.13862944,0.27265117,inflammatory_macrophage
nLN,B lymphocytes,10584,0.11336701,0.0,0.17682242,inflammatory_macrophage
nLN,Myeloid cells,1288,0.67114335,0.27725887,0.8209968,inflammatory_macrophage
nLN,T/NK cells,19478,0.11729923,0.0,0.1579524,inflammatory_macrophage
nLN,,6096,0.13002475,0.0,0.20548871,inflammatory_macrophage
nLung,B lymphocytes,634,0.19259991,0.13862944,0.22165488,inflammatory_macrophage
nLung,Endothelial cells,1295,0.24673651,0.13862944,0.26712665,inflammatory_macrophage
nLung,Epithelial cells,3703,0.42708227,0.3583519,0.3855762,inflammatory_macrophage
nLung,Fibroblasts,1585,0.35889745,0.3583519,0.3046308,inflammatory_macrophage
nLung,MAST cells,1079,0.44308826,0.43944493,0.22705111,inflammatory_macrophage
nLung,Myeloid cells,16672,1.1263515,1.0385914,0.76329,inflammatory_macrophage
nLung,T/NK cells,11413,0.23857008,0.13862944,0.23302478,inflammatory_macrophage
nLung,,6614,0.26157376,0.21972246,0.25886953,inflammatory_macrophage
tL/B,B lymphocytes,469,0.36325136,0.3583519,0.24952833,inflammatory_macrophage
tL/B,Epithelial cells,6582,0.3279004,0.21972246,0.3768525,inflammatory_macrophage
tL/B,Myeloid cells,1329,1.5280688,1.5914354,0.85004306,inflammatory_macrophage
tL/B,T/NK cells,2627,0.26818177,0.21972246,0.26160753,inflammatory_macrophage
tL/B,,963,0.3152684,0.21972246,0.33244783,inflammatory_macrophage
tLung,B lymphocytes,5312,0.19279277,0.13862944,0.22460556,inflammatory_macrophage
tLung,Endothelial cells,627,0.26084056,0.21972246,0.26244414,inflammatory_macrophage
tLung,Epithelial cells,7270,0.5005378,0.4158883,0.3989914,inflammatory_macrophage
tLung,Fibroblasts,1654,0.33945683,0.27725887,0.3093881,inflammatory_macrophage
tLung,MAST cells,1809,0.47721815,0.47957906,0.21182317,inflammatory_macrophage
tLung,Myeloid cells,8794,1.3207401,1.2507658,0.91469103,inflammatory_macrophage
tLung,T/NK cells,13941,0.20443875,0.13862944,0.18492268,inflammatory_macrophage
tLung,,5742,0.21120779,0.13862944,0.20362222,inflammatory_macrophage
PE,B lymphocytes,3285,0.0062425365,0.0,0.033370394,resident_macrophage
PE,Epithelial cells,396,0.12358626,0.0,0.18446498,resident_macrophage
PE,Myeloid cells,3063,0.3497194,0.27465308,0.31644437,resident_macrophage
PE,T/NK cells,9192,0.0028608702,0.0,0.022433037,resident_macrophage
PE,,4368,0.003045011,0.0,0.023481585,resident_macrophage
mBrain,B lymphocytes,1311,0.0117540015,0.0,0.04659098,resident_macrophage
mBrain,Endothelial cells,159,0.034341056,0.0,0.08271359,resident_macrophage
mBrain,Epithelial cells,15463,0.023363609,0.0,0.0721362,resident_macrophage
mBrain,Fibroblasts,444,0.03512634,0.0,0.08894113,resident_macrophage
mBrain,MAST cells,508,0.0044924687,0.0,0.034164235,resident_macrophage
mBrain,Myeloid cells,5657,0.33806825,0.1732868,0.40126008,resident_macrophage
mBrain,T/NK cells,2683,0.0063782777,0.0,0.033777393,resident_macrophage
mBrain,,2835,0.0062046926,0.0,0.035025008,resident_macrophage
mLN,B lymphocytes,6062,0.00897653,0.0,0.041554447,resident_macrophage
mLN,Epithelial cells,3053,0.043982483,0.0,0.1190609,resident_macrophage
mLN,Myeloid cells,5442,0.4351683,0.3465736,0.46049768,resident_macrophage
mLN,T/NK cells,5069,0.0055471146,0.0,0.032162525,resident_macrophage
mLN,,1819,0.0048585082,0.0,0.029185524,resident_macrophage
nLN,B lymphocytes,10584,0.008787441,0.0,0.04012803,resident_macrophage
nLN,Myeloid cells,1288,0.2076344,0.0,0.37986532,resident_macrophage
nLN,T/NK cells,19478,0.00124787,0.0,0.015186882,resident_macrophage
nLN,,6096,0.0010684018,0.0,0.0140872225,resident_macrophage
nLung,B lymphocytes,634,0.05292425,0.0,0.107627526,resident_macrophage
nLung,Endothelial cells,1295,0.07310372,0.0,0.20355314,resident_macrophage
nLung,Epithelial cells,3703,0.083957404,0.0,0.2152554,resident_macrophage
nLung,Fibroblasts,1585,0.03333086,0.0,0.13484125,resident_macrophage
nLung,MAST cells,1079,0.04965543,0.0,0.17506692,resident_macrophage
nLung,Myeloid cells,16672,1.044777,1.1077042,0.6995205,resident_macrophage
nLung,T/NK cells,11413,0.03103308,0.0,0.07426242,resident_macrophage
nLung,,6614,0.03239718,0.0,0.08942436,resident_macrophage
tL/B,B lymphocytes,469,0.008128592,0.0,0.036679316,resident_macrophage
tL/B,Epithelial cells,6582,0.056162033,0.0,0.10565308,resident_macrophage
tL/B,Myeloid cells,1329,0.27107194,0.0,0.50438464,resident_macrophage
tL/B,T/NK cells,2627,0.0055247876,0.0,0.031334933,resident_macrophage
tL/B,,963,0.004318674,0.0,0.02815858,resident_macrophage
tLung,B lymphocytes,5312,0.018590773,0.0,0.058620725,resident_macrophage
tLung,Endothelial cells,627,0.05981939,0.0,0.12270535,resident_macrophage
tLung,Epithelial cells,7270,0.04064722,0.0,0.11004563,resident_macrophage
tLung,Fibroblasts,1654,0.015048713,0.0,0.06972803,resident_macrophage
tLung,MAST cells,1809,0.0116424505,0.0,0.049140867,resident_macrophage
tLung,Myeloid cells,8794,0.69095296,0.5198604,0.67131275,resident_macrophage
tLung,T/NK cells,13941,0.011764477,0.0,0.046574406,resident_macrophage
tLung,,5742,0.009453959,0.0,0.041704167,resident_macrophage
PE,B lymphocytes,3285,0.03704714,0.023104906,0.035427645,refined_epithelial_progenitor_like
PE,Epithelial cells,396,1.4333748,1.3620632,0.9205472,refined_epithelial_progenitor_like
PE,Myeloid cells,3063,0.104701355,0.08796858,0.075789034,refined_epithelial_progenitor_like
PE,T/NK cells,9192,0.029381476,0.023104906,0.02803653,refined_epithelial_progenitor_like
PE,,4368,0.027650768,0.023104906,0.030172778,refined_epithelial_progenitor_like
mBrain,B lymphocytes,1311,0.06871871,0.046209812,0.069341995,refined_epithelial_progenitor_like
mBrain,Endothelial cells,159,0.47575387,0.40243784,0.30764955,refined_epithelial_progenitor_like
mBrain,Epithelial cells,15463,1.0480196,0.9459698,0.6551096,refined_epithelial_progenitor_like
mBrain,Fibroblasts,444,0.4855124,0.465199,0.29021412,refined_epithelial_progenitor_like
mBrain,MAST cells,508,0.041502606,0.023104906,0.046378963,refined_epithelial_progenitor_like
mBrain,Myeloid cells,5657,0.14357233,0.11552453,0.11985258,refined_epithelial_progenitor_like
mBrain,T/NK cells,2683,0.044913735,0.023104906,0.046549276,refined_epithelial_progenitor_like
mBrain,,2835,0.063413695,0.036620412,0.10289471,refined_epithelial_progenitor_like
mLN,B lymphocytes,6062,0.046167955,0.046209812,0.042637307,refined_epithelial_progenitor_like
mLN,Epithelial cells,3053,1.3346812,1.3424052,0.8332933,refined_epithelial_progenitor_like
mLN,Myeloid cells,5442,0.18159194,0.16120939,0.12497441,refined_epithelial_progenitor_like
mLN,T/NK cells,5069,0.03742947,0.023104906,0.038483247,refined_epithelial_progenitor_like
mLN,,1819,0.039495748,0.023104906,0.053494275,refined_epithelial_progenitor_like
nLN,B lymphocytes,10584,0.02936142,0.023104906,0.03202634,refined_epithelial_progenitor_like
nLN,Myeloid cells,1288,0.11465851,0.076752834,0.11849542,refined_epithelial_progenitor_like
nLN,T/NK cells,19478,0.010079514,0.0,0.017566277,refined_epithelial_progenitor_like
nLN,,6096,0.011721873,0.0,0.022828992,refined_epithelial_progenitor_like
nLung,B lymphocytes,634,0.06440917,0.046209812,0.055663045,refined_epithelial_progenitor_like
nLung,Endothelial cells,1295,0.31480035,0.2898948,0.14121862,refined_epithelial_progenitor_like
nLung,Epithelial cells,3703,0.6014614,0.5079315,0.39759016,refined_epithelial_progenitor_like
nLung,Fibroblasts,1585,0.21496831,0.19620347,0.14171083,refined_epithelial_progenitor_like
nLung,MAST cells,1079,0.034934696,0.023104906,0.04481334,refined_epithelial_progenitor_like
nLung,Myeloid cells,16672,0.20638035,0.1843143,0.13884076,refined_epithelial_progenitor_like
nLung,T/NK cells,11413,0.028296113,0.023104906,0.029269125,refined_epithelial_progenitor_like
nLung,,6614,0.034365688,0.023104906,0.07916152,refined_epithelial_progenitor_like
tL/B,B lymphocytes,469,0.06286287,0.046209812,0.0767533,refined_epithelial_progenitor_like
tL/B,Epithelial cells,6582,1.2028875,1.1556647,0.63021517,refined_epithelial_progenitor_like
tL/B,Myeloid cells,1329,0.14329584,0.09985774,0.14116187,refined_epithelial_progenitor_like
tL/B,T/NK cells,2627,0.041036755,0.036620412,0.037213407,refined_epithelial_progenitor_like
tL/B,,963,0.036410015,0.023104906,0.04759265,refined_epithelial_progenitor_like
tLung,B lymphocytes,5312,0.051191226,0.046209812,0.04956388,refined_epithelial_progenitor_like
tLung,Endothelial cells,627,0.39219758,0.361585,0.18708989,refined_epithelial_progenitor_like
tLung,Epithelial cells,7270,1.1310308,1.0436859,0.64067876,refined_epithelial_progenitor_like
tLung,Fibroblasts,1654,0.3072581,0.2864718,0.19617617,refined_epithelial_progenitor_like
tLung,MAST cells,1809,0.038066935,0.023104906,0.03653646,refined_epithelial_progenitor_like
